,restaurant,online_order,book_table,rating,votes,cuisines,average_cost,restaurant_type,locality
38104,Chutney Chang,Yes,Yes,4.2,4748,"North Indian, Chinese, BBQ",1500.0,Delivery,Lavelle Road
38105,Veganbreak24,Yes,No,2.8,5,"South Indian, Chinese, Continental, Biryani",199.0,Delivery,Lavelle Road
38106,CafMH-28,Yes,No,3.4,9,Cafe,300.0,Delivery,Lavelle Road
38107,Amritsari Kulcha Bite,Yes,No,3.9,113,North Indian,150.0,Delivery,Lavelle Road
38110,Meenu Oota Da Maane,Yes,No,3.1,23,"Seafood, Mangalorean, Chinese",700.0,Delivery,Lavelle Road
38111,Gobble Up Churros Cafe,Yes,No,3.8,38,"Beverages, Cafe, Desserts, Spanish, Bakery",400.0,Delivery,Lavelle Road
38112,Pop'z Kitchen,No,No,3.7,23,Bakery,250.0,Delivery,Lavelle Road
38113,Eat At Nite,Yes,No,3.4,76,"North Indian, Chinese, Rolls",400.0,Delivery,Lavelle Road
38114,Ascharya Hotel,Yes,No,3.4,11,"Mangalorean, South Indian",300.0,Delivery,Lavelle Road
38115,Parathe Wali Gali,Yes,No,3.8,38,North Indian,250.0,Delivery,Lavelle Road
38116,Red Onion,Yes,Yes,4.3,569,"Chinese, North Indian, Biryani, Kebab",1200.0,Delivery,Lavelle Road
38117,Indira Darshini,Yes,No,3.6,27,"South Indian, Chinese",200.0,Delivery,Lavelle Road
38118,Zaks Mediterranean Cuisine,Yes,No,3.9,256,"Mediterranean, Arabian, Lebanese",700.0,Delivery,Lavelle Road
38119,Oh! Calcutta,Yes,Yes,4.4,1124,"Bengali, Seafood",1200.0,Delivery,Lavelle Road
38120,Panchavati Gaurav Thali,No,Yes,4.0,930,"Rajasthani, Gujarati",800.0,Delivery,Lavelle Road
38121,Fatso's,Yes,No,3.8,75,"Cafe, American, Italian, Burger",650.0,Delivery,Lavelle Road
38122,Donne Biriyani Mane,Yes,No,3.4,63,"Biryani, Kebab",400.0,Delivery,Lavelle Road
38123,Bangalore Bytes,Yes,No,3.5,121,"Fast Food, South Indian, Biryani",300.0,Delivery,Lavelle Road
38124,MISU,Yes,Yes,4.5,1238,"Asian, Japanese, Korean, Indonesian, Malaysian, Singaporean",1700.0,Delivery,Lavelle Road
38125,Naachiyar's,Yes,No,3.9,119,Chettinad,600.0,Delivery,Lavelle Road
38127,Mainland China,Yes,Yes,4.5,1418,Chinese,1700.0,Delivery,Lavelle Road
38128,Urban Solace - Caffor the Soul,Yes,No,3.9,464,"Cafe, American, Continental, Steak",800.0,Delivery,Lavelle Road
38129,The Grand Taj,Yes,No,3.3,37,"North Indian, Chinese",350.0,Delivery,Lavelle Road
38130,Red Lantern,Yes,No,3.7,160,"Chinese, Thai",700.0,Delivery,Lavelle Road
38131,Kitchen On Table,Yes,No,4.0,55,"Japanese, Sushi, Asian",1500.0,Delivery,Lavelle Road
38132,The Rice Bowl,Yes,Yes,4.3,509,"Chinese, Momos",1300.0,Delivery,Lavelle Road
38133,South Inn,No,No,3.1,24,South Indian,150.0,Delivery,Lavelle Road
38134,Kamat Minerva,Yes,No,2.6,72,"South Indian, North Indian, Chinese",300.0,Delivery,Lavelle Road
38135,The Tao Terraces,Yes,Yes,3.9,1937,"Thai, Japanese, Korean, Burmese, Chinese",2100.0,Delivery,Lavelle Road
38136,Pathy's Kitchen,Yes,No,3.5,21,Andhra,500.0,Delivery,Lavelle Road
38137,Happy Fillings,Yes,No,3.4,8,Chinese,300.0,Delivery,Lavelle Road
38138,Shezan,Yes,No,4.1,398,"Chinese, Continental, North Indian, Mughlai, Steak",600.0,Delivery,Lavelle Road
38139,Oye Amritsar,Yes,Yes,4.1,456,North Indian,600.0,Delivery,Lavelle Road
38140,Banjara Melting Pot,Yes,Yes,4.2,476,"North Indian, Chinese, Seafood",1700.0,Delivery,Lavelle Road
38141,Ta'aam,Yes,No,4.1,403,"North Indian, Mughlai, Arabian, Chinese",750.0,Delivery,Lavelle Road
38142,Tandoor,Yes,Yes,3.9,1370,North Indian,2100.0,Delivery,Lavelle Road
38145,Taipan,Yes,No,3.5,126,"Chinese, Momos",700.0,Delivery,Lavelle Road
38146,Feast India Co.,Yes,No,4.2,136,"Awadhi, Bengali, North Indian",1500.0,Delivery,Lavelle Road
38147,B Bhagat Tarachand,Yes,Yes,4.2,176,"North Indian, Chinese, Street Food, Beverages",700.0,Delivery,Lavelle Road
38148,The Biere Club,Yes,Yes,4.3,3492,"Continental, BBQ, Finger Food",1700.0,Delivery,Lavelle Road
38150,Mahesh Lunch Home,Yes,Yes,4.1,864,"Seafood, Mangalorean, North Indian, Chinese",1400.0,Delivery,Lavelle Road
38151,Bheema's,Yes,No,4.0,785,Andhra,650.0,Delivery,Lavelle Road
38152,Bon Sante,No,No,3.6,104,"Cafe, Continental, Italian",800.0,Delivery,Lavelle Road
38153,Chung Wah,Yes,No,4.0,362,"Chinese, Thai, Momos, Vietnamese",1000.0,Delivery,Lavelle Road
38154,Mad Over Biryani,Yes,No,2.9,17,"North Indian, Biryani",600.0,Delivery,Lavelle Road
38156,Batter Splatter,No,No,3.3,5,Bakery,350.0,Delivery,Lavelle Road
38157,Chung's Chinese Corner,Yes,No,3.3,204,"Chinese, Asian, American, Seafood",600.0,Delivery,Lavelle Road
38158,Fat Buddha,Yes,Yes,4.0,457,"Chinese, Thai",1000.0,Delivery,Lavelle Road
38160,Teppan Japanese Grill & Sushi Bar,Yes,No,4.3,909,Japanese,2000.0,Delivery,Lavelle Road
38161,New Prashanth Hotel,Yes,No,3.7,50,"South Indian, Biryani, Chinese, North Indian",750.0,Delivery,Lavelle Road
38162,Midnight Eats,Yes,No,3.1,114,"North Indian, Chinese",500.0,Delivery,Lavelle Road
38163,The Only Place,Yes,Yes,4.2,2930,"Italian, American, Steak, Continental, BBQ, Salad",1000.0,Delivery,Lavelle Road
38164,Venkateshwara Foods,Yes,No,3.0,13,"Street Food, South Indian",400.0,Delivery,Lavelle Road
38165,Hotel Tom's Restaurant,Yes,Yes,4.4,719,"Mangalorean, Seafood, Chinese, North Indian",1000.0,Delivery,Lavelle Road
38166,Anupam's Coast II Coast,Yes,Yes,4.2,856,"Seafood, Mangalorean, North Indian, Chinese",1400.0,Delivery,Lavelle Road
38168,Kudla - Hotel Ramanashree,Yes,Yes,4.2,354,"South Indian, Andhra, Chinese",1200.0,Delivery,Lavelle Road
38169,Ramana's,Yes,Yes,4.0,379,"North Indian, Chinese, Healthy Food",850.0,Delivery,Lavelle Road
38170,Ebony,Yes,Yes,4.3,3150,"North Indian, South Indian",1500.0,Delivery,Lavelle Road
38172,Gundappa Donne Biryani,Yes,No,3.8,177,Biryani,300.0,Delivery,Lavelle Road
38173,New Kudla Family Resturant,Yes,No,3.2,5,"North Indian, Chinese",450.0,Delivery,Lavelle Road
38174,The Konkan - Seafood Restaurant,Yes,Yes,4.4,219,"Seafood, Konkan, Mangalorean",850.0,Delivery,Lavelle Road
38175,Hotel Ruchi Priya,Yes,No,3.6,22,North Indian,350.0,Delivery,Lavelle Road
38176,The Golden Metro,Yes,No,3.6,70,"North Indian, Mughlai, Chinese, Continental",800.0,Delivery,Lavelle Road
38177,Lazio Steaks & More,Yes,No,3.9,122,"Continental, Chinese, Steak",1000.0,Delivery,Lavelle Road
38178,ASEAN - On The Edge,Yes,Yes,4.5,871,"Asian, Thai",1800.0,Delivery,Lavelle Road
38179,Monsoon Express,Yes,No,3.4,7,"Continental, Thai, North Indian",1600.0,Delivery,Lavelle Road
38181,Samskruti - Sanman Gardenia,Yes,No,4.0,141,"North Indian, Chinese, South Indian",550.0,Delivery,Lavelle Road
38182,Xian,Yes,Yes,3.8,81,"Chinese, Thai",800.0,Delivery,Lavelle Road
38183,Crescent Avenue - Hotel Bangalore International,Yes,No,3.6,41,"North Indian, Continental, Chinese, Asian, Thai",1400.0,Delivery,Lavelle Road
38185,Mummy Dhaba,Yes,No,3.4,48,North Indian,300.0,Delivery,Lavelle Road
38187,Midnight Hunger Solutions 24/7,Yes,No,2.1,253,"North Indian, Mughlai, Chinese",500.0,Delivery,Lavelle Road
38188,Benjarong,Yes,No,4.2,860,"Thai, Asian",1800.0,Delivery,Lavelle Road
38189,Ente Keralam,Yes,No,4.0,1103,"Kerala, Seafood",1300.0,Delivery,Lavelle Road
38190,Donne Biryani Mane,Yes,No,3.2,7,Biryani,300.0,Delivery,Lavelle Road
38191,Nagarjuna,No,No,4.3,1789,"Andhra, Biryani",800.0,Delivery,Lavelle Road
38192,Hyderabad Biryaani House,No,No,4.2,1363,"Biryani, North Indian, Chinese",700.0,Delivery,Lavelle Road
38193,Japan Travel Cafe Azuki,No,No,4.3,72,"Cafe, Japanese",400.0,Delivery,Lavelle Road
38194,The Bong,No,No,3.1,38,"Bengali, North Indian",300.0,Delivery,Lavelle Road
38195,The Biryani Paradise,No,No,3.8,32,"Biryani, South Indian",350.0,Delivery,Lavelle Road
38196,New Prashanth Naati Style,No,No,3.8,31,"South Indian, Biryani",400.0,Delivery,Lavelle Road
38197,Little Chef,No,No,4.0,102,Chinese,550.0,Delivery,Lavelle Road
38198,Nandhini Deluxe,No,No,3.6,37,North Indian,600.0,Delivery,Lavelle Road
38199,Srinivasa Mess,Yes,No,3.7,34,"Andhra, Chinese",300.0,Delivery,Lavelle Road
38200,Canopy,No,No,3.0,108,"North Indian, Continental, Chinese",800.0,Delivery,Lavelle Road
38201,Cafe @ Elanza,No,No,3.7,145,"Chinese, North Indian, Cafe",1000.0,Delivery,Lavelle Road
38202,Rawal Jalebi,Yes,No,3.5,9,Desserts,100.0,Delivery,Lavelle Road
38204,Croons,No,No,3.8,26,Desserts,350.0,Delivery,Lavelle Road
38209,Aathithya,No,No,3.1,16,"North Indian, Continental, Chinese",1100.0,Delivery,Lavelle Road
38210,Nagashree's,No,No,2.9,46,"South Indian, North Indian, Fast Food",550.0,Delivery,Lavelle Road
38212,Express Food Delivery,No,No,2.8,38,"North Indian, Chinese",500.0,Delivery,Lavelle Road
38213,Feast and Burp,No,No,3.3,4,North Indian,300.0,Delivery,Lavelle Road
38214,Gowdara Naati Mane,No,No,3.4,7,"South Indian, Biryani, Mangalorean",500.0,Delivery,Lavelle Road
38216,37 China Town,No,No,3.5,58,"Chinese, Thai, North Indian, South Indian, Continental",900.0,Delivery,Lavelle Road
38218,Coastal Creek,No,No,3.3,13,"North Indian, Continental, South Indian",600.0,Delivery,Lavelle Road
38219,Kamat's Palate Korner,No,No,4.1,121,"North Indian, Chinese",600.0,Delivery,Lavelle Road
38220,Norsha Caffe,No,No,3.3,6,Cafe,400.0,Delivery,Lavelle Road
38221,Cafe Treat - The Pride Hotel,Yes,No,4.1,118,"Continental, Asian, Italian",1000.0,Delivery,Lavelle Road
38222,Dakshin,Yes,No,3.5,47,South Indian,450.0,Delivery,Lavelle Road
38225,In Wok,Yes,No,3.6,118,Chinese,500.0,Delivery,Lavelle Road
38226,The Oriental Spice - Ashraya Hotel,Yes,No,3.9,158,"Chinese, Thai, Indonesian",1300.0,Delivery,Lavelle Road
38227,Aromas Of South,Yes,No,3.7,46,South Indian,1000.0,Delivery,Lavelle Road
38228,Allana Kabab,No,No,3.3,4,North Indian,200.0,Delivery,Lavelle Road
38229,Arina's,No,No,3.3,5,"Fast Food, Chinese",250.0,Delivery,Lavelle Road
38230,Bhandary's Kitchen,Yes,No,3.6,16,North Indian,300.0,Delivery,Lavelle Road
38231,Parika Multicuisine Restaurant,Yes,Yes,3.8,203,"North Indian, Chinese, Mughlai",1200.0,Delivery,Lavelle Road
38233,Kaulige Millet Corner,Yes,No,4.0,32,"Healthy Food, South Indian",300.0,Delivery,Lavelle Road
38234,Tiger Trail - Ramada Hotel,Yes,Yes,4.0,190,"North Indian, Lucknowi",1300.0,Delivery,Lavelle Road
38235,Halli Mane,Yes,No,3.2,5,South Indian,300.0,Delivery,Lavelle Road
38236,Taj Hotel,Yes,No,3.7,110,"Mughlai, Chinese",700.0,Delivery,Lavelle Road
38237,Foody's,Yes,No,3.8,169,"North Indian, South Indian",250.0,Delivery,Lavelle Road
38239,Masala Oota,Yes,No,3.6,79,"South Indian, Biryani",500.0,Delivery,Lavelle Road
38240,Fudge,Yes,No,3.8,36,"Desserts, Momos",200.0,Delivery,Lavelle Road
38241,Juice Shop,No,No,3.3,11,"Street Food, Beverages",200.0,Delivery,Lavelle Road
38242,Double Decker,No,Yes,4.3,2698,"Continental, North Indian",1300.0,Delivery,Lavelle Road
38243,Amber Rush Restobar,No,Yes,4.1,101,"Continental, Chinese, Fast Food",1000.0,Delivery,Lavelle Road
38244,ThrowBack - Pub & Dine,No,No,3.9,234,"Italian, North Indian, Continental",1000.0,Delivery,Lavelle Road
38245,Falafal,Yes,No,3.3,4,"Healthy Food, Juices",200.0,Delivery,Lavelle Road
38246,Shaken & Stirred,Yes,No,3.9,86,"Continental, North Indian, Chinese",1500.0,Delivery,Lavelle Road
38248,Sri Ayodhya Veg,No,No,3.6,24,"South Indian, North Indian, Chinese",300.0,Delivery,Lavelle Road
38249,Hotel Fine,Yes,No,3.5,25,"North Indian, Chinese",450.0,Delivery,Lavelle Road
38252,The Bangalore Cafe,Yes,Yes,4.2,508,"Modern Indian, North Indian, Pizza, Continental, Beverages",800.0,Delivery,Lavelle Road
38253,Truffles,No,No,4.5,3589,"Cafe, American, Burger, Steak",900.0,Delivery,Lavelle Road
38254,CafFelix,Yes,Yes,4.4,721,"American, Cafe, Continental",1700.0,Delivery,Lavelle Road
38255,Millers 46,No,Yes,4.4,2275,"American, Continental, Steak",1100.0,Delivery,Lavelle Road
38256,Sakae Japanese Restaurant,No,Yes,4.3,531,Japanese,1400.0,Delivery,Lavelle Road
38257,Green Onion,No,No,4.3,1189,Chinese,550.0,Delivery,Lavelle Road
38258,Art of Delight,No,No,4.4,1912,"Ice Cream, Desserts, Beverages",400.0,Delivery,Lavelle Road
38259,Samrat Restaurant,No,No,4.1,491,"South Indian, North Indian",600.0,Delivery,Lavelle Road
38261,Cafe Kaara,No,No,4.3,164,"Cafe, Salad, Desserts, Pizza",750.0,Delivery,Lavelle Road
38262,Khazana Food Paradise,No,No,4.1,362,"North Indian, Biryani",400.0,Delivery,Lavelle Road
38263,Little Green Cafe,No,No,4.3,792,"Cafe, Healthy Food, Salad, Continental, Beverages, Italian, Sandwich",900.0,Delivery,Lavelle Road
38264,Mandarin Box,No,No,3.9,84,Chinese,500.0,Delivery,Lavelle Road
38265,Pashto,No,No,4.1,787,"North Indian, Mughlai, Afghan",800.0,Delivery,Lavelle Road
38266,Lakeview Milkbar,No,No,4.0,1460,"Desserts, Fast Food, Beverages",450.0,Delivery,Lavelle Road
38267,Somilan Steak House,No,No,4.3,539,"North Eastern, Asian, Naga, Steak, Momos",800.0,Delivery,Lavelle Road
38268,IceBreakers,No,No,4.3,185,"Desserts, Ice Cream",500.0,Delivery,Lavelle Road
38269,Peppa Zzing,Yes,No,4.3,1135,"Cafe, Fast Food, Burger",800.0,Delivery,Lavelle Road
38270,Juice Junction,Yes,No,4.0,101,"Juices, Fast Food",150.0,Delivery,Lavelle Road
38271,Sugarberryz Cakery,No,No,3.9,58,"Bakery, Desserts",1200.0,Delivery,Lavelle Road
38272,Trick Or Treat,No,No,4.2,620,"Cafe, Burger, Continental, Pizza, Steak",500.0,Delivery,Lavelle Road
38273,Stars 'N' Stripes,No,No,2.7,77,"North Indian, Chinese, Fast Food",500.0,Delivery,Lavelle Road
38274,Revoli Hotel,No,No,3.2,22,"South Indian, Chinese",450.0,Delivery,Lavelle Road
38275,Juicemaker,No,No,3.8,30,"Beverages, Fast Food",400.0,Delivery,Lavelle Road
38276,Chicken County,No,No,3.8,136,"North Indian, Chinese",650.0,Delivery,Lavelle Road
38278,All Saints Bakery,No,No,3.6,23,Bakery,200.0,Delivery,Lavelle Road
38279,Al-Madina Restaurant,No,No,3.4,22,"Arabian, North Indian, Chinese, Kerala",500.0,Delivery,Lavelle Road
38280,Tibbs Frankie,No,No,3.8,24,"Street Food, Rolls",200.0,Delivery,Lavelle Road
38281,California Burrito,No,No,4.0,54,"Mexican, Fast Food",400.0,Delivery,Lavelle Road
38282,Annapoorni Grand,No,No,3.9,82,"Chinese, South Indian, North Indian",450.0,Delivery,Lavelle Road
38285,Mel's Korner,No,No,3.7,95,Fast Food,500.0,Delivery,Lavelle Road
38286,Iyengars' Bakery,No,No,3.4,14,Bakery,200.0,Delivery,Lavelle Road
38287,Rolls On Wheels,No,No,3.7,62,Fast Food,200.0,Delivery,Lavelle Road
38288,Grand Spicy Restaurant,No,No,3.6,35,"North Indian, Mughlai, Chinese",700.0,Delivery,Lavelle Road
38289,Sidewalk Cafe - Nahar's Heritage Hotel,No,No,3.9,135,"Italian, Fast Food",800.0,Delivery,Lavelle Road
38291,Mantap Ice Cream,No,No,3.5,7,Desserts,200.0,Delivery,Lavelle Road
38292,Yomama!!,No,No,3.6,8,"Continental, Burger, Cafe, Steak",800.0,Delivery,Lavelle Road
38293,Halli Oota,No,No,3.3,6,"South Indian, Biryani",450.0,Delivery,Lavelle Road
38295,Adda,No,No,3.3,5,South Indian,300.0,Delivery,Lavelle Road
38297,New Udupi Upahar,No,No,3.1,7,"South Indian, North Indian, Chinese",300.0,Delivery,Lavelle Road
38298,Chai Ki Tapri,No,No,3.7,16,Cafe,250.0,Delivery,Lavelle Road
38299,Tempura Restaurant,No,No,3.9,122,"Japanese, Chinese, Tibetan, Momos",500.0,Delivery,Lavelle Road
38300,Choi Choi Momos,No,No,3.9,31,"Chinese, Fast Food, Momos",300.0,Delivery,Lavelle Road
38301,Lazeez Xpress,Yes,No,3.4,12,"North Indian, Mughlai, Biryani",650.0,Delivery,Lavelle Road
38302,Donne Biriyani Mane,No,No,3.2,6,Biryani,300.0,Delivery,Lavelle Road
38303,The Taj Hotel,No,No,3.5,12,"Biryani, Mughlai",350.0,Delivery,Lavelle Road
38305,Ultra Biriyani Paradise,No,No,3.3,9,Biryani,300.0,Delivery,Lavelle Road
38306,Nithyothsav - Hotel Ramanashree,No,No,3.0,31,"North Indian, Chinese",1000.0,Delivery,Lavelle Road
38307,Hashtag Cafe,No,No,2.8,46,"Cafe, Continental, European, Italian",700.0,Delivery,Lavelle Road
38308,BISO - Citrus Hotels,No,Yes,3.9,158,"North Indian, South Indian, Italian, Continental",1100.0,Delivery,Lavelle Road
38310,Stir Fry,No,No,4.0,209,"Chinese, Momos",500.0,Delivery,Lavelle Road
38311,Natural Ice Cream,No,No,4.2,222,"Ice Cream, Beverages",200.0,Delivery,Lavelle Road
38312,New Arya Bhavan,No,No,3.1,23,"Street Food, Beverages, North Indian",300.0,Delivery,Lavelle Road
38313,Take A Break,No,No,3.4,7,North Indian,600.0,Delivery,Lavelle Road
38314,MiniMelts,No,No,3.9,66,Ice Cream,200.0,Delivery,Lavelle Road
38322,VT Sindhur Veg,No,No,3.3,13,"North Indian, Chinese",600.0,Delivery,Lavelle Road
38323,Hotel Green Tara,No,No,3.9,42,"Chinese, Tibetan, Momos",500.0,Delivery,Lavelle Road
38324,Mughals Restaurant,No,No,3.1,17,"Mughlai, North Indian, Chinese, Biryani, Seafood",550.0,Delivery,Lavelle Road
38325,Indy's Comfort Food,No,No,4.1,399,"North Indian, Beverages, Fast Food",300.0,Delivery,Lavelle Road
38343,Chaithanya Andhra Style Family Restaurant,No,No,3.2,4,"Andhra, North Indian, Chinese",600.0,Delivery,Lavelle Road
38344,The Sugar Therapy,No,No,3.8,26,"Desserts, Bakery",500.0,Delivery,Lavelle Road
38345,Shake N Snack,No,No,3.6,18,"Beverages, Fast Food",200.0,Delivery,Lavelle Road
38347,New Kohinoor Hotel,No,No,3.2,9,North Indian,450.0,Delivery,Lavelle Road
38348,Little Bites,No,No,3.6,7,"Cafe, Fast Food",200.0,Delivery,Lavelle Road
38351,Hatti Punjab Di,No,No,3.4,8,North Indian,450.0,Delivery,Lavelle Road
38352,RR Catering,No,No,3.4,10,"North Indian, Chinese, Biryani",350.0,Delivery,Lavelle Road
38354,Ambur Hot Dum Biryani,No,No,3.1,6,"Biryani, Kebab",250.0,Delivery,Lavelle Road
38356,Kanis Kitchen,No,No,3.6,14,South Indian,250.0,Delivery,Lavelle Road
38358,Hit and Run,No,No,3.6,15,"Fast Food, Continental",350.0,Delivery,Lavelle Road
38360,Bhaiyajees,No,No,3.7,16,"North Indian, South Indian",300.0,Delivery,Lavelle Road
38361,Le Chri,No,No,3.8,33,"Bakery, Desserts",350.0,Delivery,Lavelle Road
38362,Dine In,No,No,3.5,8,"Kerala, South Indian, North Indian, Chinese",400.0,Delivery,Lavelle Road
38363,Spicy Restaurant,No,No,3.0,25,"North Indian, Chinese",400.0,Delivery,Lavelle Road
38364,Cake of the Day,No,No,3.5,19,Bakery,150.0,Delivery,Lavelle Road
38365,Kinara Tiffany,No,No,3.6,16,South Indian,100.0,Delivery,Lavelle Road
38366,Chicken Corner,No,No,3.2,6,"North Indian, Chinese, Mughlai",450.0,Delivery,Lavelle Road
38368,Little Paramount Restaurants,No,No,3.6,32,"Mughlai, North Indian",400.0,Delivery,Lavelle Road
38371,The Bao Belly,No,No,3.3,9,Cafe,400.0,Delivery,Lavelle Road
38372,Zaiqa,No,No,3.4,8,"North Indian, Chinese",350.0,Delivery,Lavelle Road
38373,Rescafe,No,No,3.8,41,Beverages,100.0,Delivery,Lavelle Road
38374,Bhaiyaji Food Court,No,No,3.4,27,"North Indian, Mithai",300.0,Delivery,Lavelle Road
38375,Tandoor Da Funda,No,No,3.6,15,North Indian,350.0,Delivery,Lavelle Road
38380,Shiv Sager,No,No,3.0,10,"South Indian, North Indian, Chinese",200.0,Delivery,Lavelle Road
38389,Malabar Kitchen,Yes,No,3.2,5,"Kerala, North Indian, Chinese",300.0,Delivery,Lavelle Road
38393,Vasudev Adiga's,No,No,3.0,53,"South Indian, North Indian, Chinese, Street Food",250.0,Delivery,Lavelle Road
38394,Skyline Family Restaurant,Yes,No,3.4,33,"North Indian, Chinese, Seafood, Mangalorean",550.0,Delivery,Lavelle Road
38395,Casa Express,No,No,2.6,26,"Chinese, Italian",400.0,Delivery,Lavelle Road
38396,Pappu Chaiwalla,No,No,3.3,33,"Fast Food, Tea, Beverages",300.0,Delivery,Lavelle Road
38403,Siddique Kabab Centre,No,No,3.9,435,"Mughlai, Kebab, Chinese",550.0,Delivery,Lavelle Road
38404,Akshaya Sambrama Veg Restaurant,No,No,3.2,13,"South Indian, Chinese",200.0,Delivery,Lavelle Road
38405,Nawab's Kolkatta Roll,No,No,3.4,5,"Street Food, Rolls",150.0,Delivery,Lavelle Road
38406,Kamat Restaurant,Yes,No,3.6,31,"South Indian, North Indian, Chinese, Desserts, Juices",400.0,Delivery,Lavelle Road
38407,Royal Restaurant,No,No,3.2,7,"North Indian, Chinese",200.0,Delivery,Lavelle Road
38408,Shree Sadguru Refreshment,No,No,3.2,4,"South Indian, Chinese",400.0,Delivery,Lavelle Road
38409,Shan Restaurant,Yes,No,3.0,20,"Kerala, Chinese, South Indian, North Indian",400.0,Delivery,Lavelle Road
38410,Tasty King,No,No,3.4,8,"South Indian, North Indian, Chinese",400.0,Delivery,Lavelle Road
38411,Ice & Spice,Yes,No,3.0,96,"Continental, Pizza, Fast Food",650.0,Delivery,Lavelle Road
38412,Hotel Nisarga Grand,No,No,3.6,33,"South Indian, North Indian, Chinese",500.0,Delivery,Lavelle Road
38413,Baahubelly,No,No,3.7,68,"South Indian, North Indian",500.0,Delivery,Lavelle Road
38414,Kerala Kitchen,No,No,3.1,32,"Kerala, South Indian",200.0,Delivery,Lavelle Road
38415,Hatti Punjab Di,Yes,No,2.8,20,"North Indian, Chinese",550.0,Delivery,Lavelle Road
38416,The French Loaf,Yes,No,2.9,48,"Bakery, Desserts, Sandwich",400.0,Delivery,Lavelle Road
38417,Cinnamon,No,No,3.7,28,"North Indian, Asian, Continental",1000.0,Delivery,Lavelle Road
38421,Cool Corner Arun Ice Cream,No,No,3.5,8,"Desserts, Ice Cream",200.0,Delivery,Lavelle Road
38422,Home Treat,No,No,3.1,7,North Indian,150.0,Delivery,Lavelle Road
38423,Deccan Spices,No,No,3.7,24,"Biryani, Mughlai, Fast Food",500.0,Delivery,Lavelle Road
38424,Ooty Chocolates,Yes,No,3.5,17,Desserts,300.0,Delivery,Lavelle Road
38426,Sri Rama,No,No,3.2,4,South Indian,200.0,Delivery,Lavelle Road
38427,Pooja Veg,No,No,3.1,9,South Indian,100.0,Delivery,Lavelle Road
38429,Hungry Birds,Yes,No,3.2,6,Chinese,300.0,Delivery,Lavelle Road
38432,The Fiery Indian Kitchen,Yes,No,3.4,7,North Indian,700.0,Delivery,Lavelle Road
38433,Funjabi,No,No,3.5,140,North Indian,600.0,Delivery,Lavelle Road
38434,Eatato Snack Bar,No,No,3.3,11,"South Indian, North Indian, Chinese, Rolls, Fast Food",400.0,Delivery,Lavelle Road
38435,Zodiac - Fortune Select JP Cosmos Hotel,Yes,Yes,3.8,91,"North Indian, South Indian, Chinese, Continental",1800.0,Delivery,Lavelle Road
38436,Cafe Mangii,Yes,Yes,4.3,1052,"Italian, Continental, Pizza",1600.0,Delivery,Lavelle Road
38437,PinxRoyal Orchid Central,Yes,Yes,3.8,200,"Italian, European",1600.0,Delivery,Lavelle Road
38438,Glen's Bakehouse,Yes,No,4.4,1106,"Bakery, Cafe, Italian, Desserts",600.0,Desserts,Lavelle Road
38439,Bengaluru Baking Company - JW Marriott Bengaluru,No,No,4.3,526,"Salad, Bakery, Cafe, Sandwich, Italian, Burger",1400.0,Desserts,Lavelle Road
38440,GMT - Gelateria Montecatini Terme,Yes,No,4.4,69,"Desserts, Ice Cream",300.0,Desserts,Lavelle Road
38441,Corner House Ice Cream,No,No,4.5,291,"Ice Cream, Desserts",400.0,Desserts,Lavelle Road
38442,Amande Patisserie,Yes,No,4.2,231,"Bakery, French, Desserts",300.0,Desserts,Lavelle Road
38443,ROYCE' Chocolate,No,No,3.5,19,Desserts,1000.0,Desserts,Lavelle Road
38444,Keventers,No,No,3.9,91,"Desserts, Beverages, Ice Cream",400.0,Desserts,Lavelle Road
38445,Pop'z Kitchen,No,No,3.7,23,Bakery,250.0,Desserts,Lavelle Road
38446,Chocolate D'Luxe,Yes,No,4.1,184,Desserts,550.0,Desserts,Lavelle Road
38449,Batter Splatter,No,No,3.3,5,Bakery,350.0,Desserts,Lavelle Road
38450,The Bangalore Cafe,Yes,Yes,4.2,508,"Modern Indian, North Indian, Pizza, Continental, Beverages",800.0,Desserts,Lavelle Road
38451,Green Theory,Yes,Yes,4.2,2854,"Italian, Salad, Healthy Food, Cafe, Asian, Desserts, Pizza",800.0,Desserts,Lavelle Road
38452,Alchemy - The Chancery Pavilion,No,Yes,4.3,476,Modern Indian,2000.0,Desserts,Lavelle Road
38453,The White Room - Coffee & Kitchen,No,Yes,4.1,1769,"Cafe, Continental, American, Desserts",1000.0,Desserts,Lavelle Road
38454,Dunkin' Donuts,Yes,No,4.0,1084,"Desserts, Cafe, Beverages, Burger, Fast Food",550.0,Desserts,Lavelle Road
38455,Art of Delight,No,No,4.4,1912,"Ice Cream, Desserts, Beverages",400.0,Desserts,Lavelle Road
38456,Fabelle Chocolate Boutique - ITC Gardenia,No,No,4.5,236,"Desserts, Ice Cream, Beverages",1250.0,Desserts,Lavelle Road
38457,Belgian Waffle Factory,Yes,No,4.9,1749,Desserts,400.0,Desserts,Lavelle Road
38459,Bhagatram Sweets,No,No,3.4,225,"Street Food, Mithai",300.0,Desserts,Lavelle Road
38460,Fabcafe,Yes,Yes,4.1,60,"Cafe, Healthy Food",800.0,Desserts,Lavelle Road
38461,99 Pancakes,Yes,No,4.1,45,"Desserts, Ice Cream",300.0,Desserts,Lavelle Road
